玩法类型,难度,规格说明,金币,拼图碎片必得,额外碎片掉率%,骰子,首通加成金币,失败安慰金币,备注
数独,简单,6×6 · 挖8空,20,0,30,0,20,5,新手教学向
数独,中等,9×9 · 挖35空,40,0,40,0,40,10,
数独,困难,9×9 · 挖46空,80,1,20,0,80,20,
数独,专家,9×9 · 挖52空,150,1,35,1,150,40,通关额外+1骰子
扫雷,简单,9×9 · 10雷,20,0,30,0,20,5,
扫雷,中等,12×12 · 20雷,40,0,40,0,40,10,
扫雷,困难,16×16 · 40雷,80,1,20,0,80,20,
扫雷,专家,16×30 · 99雷,150,1,35,1,150,40,
数方,简单,6×6 · 区域≤4,20,0,30,0,20,5,
数方,中等,8×6 · 区域≤5,40,0,40,0,40,10,
数方,困难,8×8 标准,80,1,20,0,80,20,
数方,专家,8×8 高难划分,150,1,35,1,150,40,
星之战,简单,8×8 · 2星,20,0,30,0,20,5,
星之战,中等,8×8 · 2星,40,0,40,0,40,10,
星之战,困难,8×8 · 2星,80,1,20,0,80,20,
星之战,专家,8×8 · 2星,150,1,35,1,150,40,
杀手数独,简单,9×9 · 简单笼,20,0,30,0,20,5,
杀手数独,中等,9×9 · 中等笼,40,0,40,0,40,10,
杀手数独,困难,9×9 · 复杂笼,80,1,20,0,80,20,
杀手数独,专家,9×9 · 高难笼组合,150,1,35,1,150,40,
